CaseID,Task,Concept,Dest,Cline,Days,State,Amenit,Price,Response
1,15,3,ECab,Carni,9D,Insid,Few,$175,0
1,15,4,WCab,Royal,11D,Insid,More,$200,0
3,1,1,Norway,Carni,7D,Balcon,Few,$200,0
3,1,2,Alask,Princ,10D,Oview,Few,$150,1
3,1,3,Mex,Holland,9D,Oview,More,$100,0
3,1,4,WCab,Royal,10D,Insid,More,$175,0
3,2,1,Medit,Norge,9D,Insid,Few,$175,0
3,2,2,ECab,Princ,10D,Oview,More,$150,0
3,2,3,Norway,Disney,8D,Balcon,More,$200,1
3,2,4,ECab,Carni,11D,Balcon,Few,$125,0
3,3,1,WCab,Disney,8D,Insid,Few,$125,0
3,3,2,Alask,Royal,9D,Oview,More,$175,1
3,3,3,ECab,Holland,9D,Balcon,Few,$200,0
3,3,4,Medit,Norge,11D,Balcon,More,$100,0
3,4,1,Alask,Princ,10D,Balcon,Few,$200,1
3,4,2,Mex,Disney,7D,Oview,More,$175,0
3,4,3,WCab,Carni,11D,Insid,More,$125,0
3,4,4,Mex,Norge,7D,Insid,Few,$100,0
3,5,1,Medit,Princ,9D,Insid,More,$125,0
3,5,2,Mex,Norge,7D,Oview,Few,$150,0
3,5,3,Norway,Royal,8D,Insid,More,$200,0
3,5,4,Alask,Holland,10D,Balcon,Few,$175,1
3,6,1,Norway,Carni,9D,Balcon,Few,$200,0
3,6,2,ECab,Royal,8D,Oview,More,$100,1
3,6,3,WCab,Disney,10D,Oview,More,$100,0
3,6,4,ECab,Holland,11D,Insid,Few,$150,0
3,7,1,WCab,Norge,11D,Insid,Few,$175,0
3,7,2,Alask,Disney,7D,Balcon,More,$150,1
3,7,3,Medit,Carni,8D,Oview,More,$125,0
3,7,4,Norway,Royal,11D,Insid,Few,$100,0
3,8,1,Medit,Princ,10D,Balcon,More,$175,1
3,8,2,Norway,Norge,8D,Oview,More,$125,0
3,8,3,WCab,Royal,11D,Balcon,Few,$150,0
3,8,4,Alask,Holland,7D,Insid,Few,$200,0
3,9,1,Alask,Carni,9D,Oview,Few,$100,1
3,9,2,Mex,Carni,10D,Balcon,More,$175,0
3,9,3,Medit,Princ,7D,Oview,Few,$125,0
3,9,4,Mex,Holland,9D,Insid,More,$150,0
3,10,1,WCab,Holland,7D,Insid,More,$175,0
3,10,2,Alask,Carni,8D,Balcon,More,$150,1
3,10,3,Mex,Norge,8D,Oview,Few,$200,0
3,10,4,Alask,Royal,10D,Insid,Few,$100,0
3,11,1,Alask,Norge,11D,Oview,Few,$175,0
3,11,2,ECab,Disney,10D,Balcon,More,$150,1
3,11,3,WCab,Princ,7D,Balcon,More,$100,0
3,11,4,Norway,Royal,10D,Insid,Few,$125,0
3,12,1,Mex,Carni,7D,Insid,Few,$100,0
3,12,2,Norway,Holland,11D,Oview,More,$150,0
3,12,3,ECab,Royal,7D,Balcon,Few,$125,1
3,12,4,Medit,Disney,9D,Insid,More,$200,0
3,13,1,Alask,Disney,9D,Oview,More,$175,1
3,13,2,Mex,Holland,10D,Balcon,Few,$200,0
3,13,3,WCab,Carni,11D,Insid,Few,$100,0
3,13,4,Medit,Royal,8D,Insid,More,$150,0
3,14,1,ECab,Princ,7D,Oview,Few,$125,0
3,14,2,Norway,Norge,9D,Balcon,More,$200,0
3,14,3,Medit,Disney,8D,Insid,Few,$150,0
3,14,4,ECab,Holland,9D,Balcon,More,$100,1
3,15,1,Mex,Carni,10D,Insid,More,$125,0
3,15,2,Norway,Disney,9D,Oview,Few,$150,0
3,15,3,WCab,Royal,10D,Oview,Few,$175,0
3,15,4,Alask,Princ,11D,Balcon,More,$200,1
5,1,1,ECab,Disney,8D,Insid,Few,$175,0
5,1,2,Medit,Princ,7D,Oview,More,$125,1
5,1,3,WCab,Holland,9D,Balcon,More,$100,0
5,1,4,Mex,Holland,10D,Oview,Few,$200,0
5,2,1,Norway,Carni,8D,Insid,Few,$150,0
5,2,2,Alask,Holland,11D,Balcon,Few,$100,1
5,2,3,Alask,Norge,7D,Oview,More,$200,0
5,2,4,WCab,Carni,10D,Insid,More,$150,0
5,3,1,ECab,Princ,11D,Balcon,Few,$150,0
5,3,2,Norway,Carni,8D,Oview,More,$200,1
5,3,3,Mex,Royal,9D,Balcon,More,$125,0
5,3,4,Medit,Disney,11D,Insid,Few,$175,0
5,4,1,WCab,Disney,10D,Balcon,More,$175,1
5,4,2,Mex,Holland,10D,Insid,More,$100,0
5,4,3,Alask,Norge,9D,Oview,Few,$125,0
5,4,4,ECab,Princ,7D,Balcon,Few,$150,0
5,5,1,ECab,Royal,10D,Insid,More,$125,0
5,5,2,Norway,Norge,8D,Insid,Few,$100,0
5,5,3,Medit,Carni,9D,Oview,Few,$200,0
5,5,4,Norway,Disney,7D,Balcon,More,$200,1
5,6,1,Mex,Princ,11D,Oview,More,$175,0
5,6,2,Alask,Disney,11D,Insid,Few,$100,0
5,6,3,Medit,Norge,9D,Balcon,Few,$125,1
5,6,4,WCab,Royal,7D,Oview,More,$150,0
5,7,1,Mex,Holland,9D,Insid,More,$200,0
5,7,2,Alask,Royal,10D,Insid,Few,$125,0
5,7,3,Medit,Princ,8D,Balcon,More,$175,1
5,7,4,Norway,Holland,8D,Oview,Few,$100,0
5,8,1,Mex,Holland,10D,Oview,Few,$200,0
5,8,2,WCab,Norge,7D,Balcon,More,$150,0
5,8,3,Norway,Carni,9D,Oview,Few,$100,1
5,8,4,ECab,Norge,11D,Insid,More,$150,0
5,9,1,Alask,Carni,8D,Balcon,More,$175,0
5,9,2,ECab,Royal,10D,Oview,Few,$200,0
5,9,3,Medit,Disney,8D,Balcon,More,$100,1
5,9,4,WCab,Princ,7D,Insid,Few,$125,0
5,10,1,WCab,Princ,8D,Insid,Few,$200,0
5,10,2,Alask,Holland,7D,Balcon,More,$100,1
5,10,3,WCab,Norge,11D,Balcon,Few,$150,0
5,10,4,ECab,Royal,9D,Oview,More,$175,0
5,11,1,Medit,Princ,9D,Balcon,Few,$150,1
5,11,2,ECab,Holland,7D,Oview,More,$100,0
5,11,3,Norway,Carni,8D,Oview,Few,$125,0
5,11,4,Medit,Disney,11D,Insid,More,$200,0
5,12,1,Norway,Disney,9D,Oview,More,$150,0
5,12,2,Mex,Royal,7D,Balcon,Few,$200,0
5,12,3,WCab,Carni,10D,Insid,More,$175,0
5,12,4,Mex,Norge,11D,Oview,Few,$100,1
5,13,1,Mex,Norge,8D,Insid,Few,$175,0
5,13,2,Medit,Royal,8D,Balcon,Few,$125,1
5,13,3,Alask,Carni,9D,Balcon,More,$200,0
5,13,4,WCab,Princ,10D,Balcon,More,$100,0
5,14,1,WCab,Holland,10D,Balcon,Few,$150,0
5,14,2,Norway,Princ,10D,Insid,More,$175,0
5,14,3,ECab,Disney,7D,Oview,Few,$125,1
5,14,4,Alask,Holland,11D,Oview,More,$200,0
5,15,1,Mex,Carni,9D,Insid,Few,$150,0
5,15,2,Norway,Disney,7D,Oview,Few,$125,1
5,15,3,ECab,Holland,11D,Balcon,More,$175,0
5,15,4,ECab,Royal,9D,Insid,More,$100,0
6,1,1,Medit,Carni,7D,Insid,More,$125,0
6,1,2,Norway,Princ,8D,Oview,Few,$200,0
6,1,3,Medit,Royal,8D,Insid,More,$150,0
6,1,4,Mex,Norge,11D,Balcon,Few,$175,1
6,2,1,Alask,Disney,8D,Insid,Few,$150,0
6,2,2,ECab,Royal,9D,Balcon,Few,$100,1
6,2,3,Mex,Norge,11D,Balcon,More,$125,0
6,2,4,Alask,Disney,10D,Oview,More,$200,0
6,3,1,ECab,Norge,8D,Oview,Few,$200,0
6,3,2,WCab,Carni,10D,Oview,More,$150,1
6,3,3,Medit,Holland,7D,Insid,Few,$175,0
6,3,4,Norway,Princ,11D,Balcon,More,$100,0
6,4,1,Alask,Princ,9D,Insid,More,$125,0
6,4,2,Mex,Carni,8D,Balcon,More,$125,1
6,4,3,Mex,Disney,10D,Insid,Few,$175,0
6,4,4,WCab,Norge,7D,Oview,Few,$100,0
6,5,1,ECab,Norge,11D,Balcon,Few,$175,0
6,5,2,WCab,Holland,7D,Balcon,More,$150,1
6,5,3,Medit,Royal,10D,Oview,Few,$100,0
6,5,4,Norway,Princ,9D,Insid,More,$200,0
6,6,1,Alask,Carni,11D,Insid,Few,$200,1
6,6,2,Medit,Royal,8D,Oview,More,$175,0
6,6,3,Norway,Holland,7D,Insid,Few,$125,0
6,6,4,WCab,Disney,10D,Balcon,More,$200,0
6,7,1,ECab,Disney,8D,Balcon,More,$175,1
6,7,2,WCab,Princ,9D,Oview,Few,$150,0
6,7,3,Alask,Norge,10D,Balcon,Few,$125,0
6,7,4,Mex,Carni,11D,Oview,More,$100,0
6,8,1,Norway,Norge,9D,Insid,Few,$150,0
6,8,2,Medit,Holland,11D,Oview,More,$150,0
6,8,3,WCab,Disney,11D,Insid,Few,$100,1
6,8,4,Norway,Royal,7D,Balcon,More,$200,0
6,9,1,Medit,Holland,9D,Oview,Few,$175,0
6,9,2,Norway,Carni,7D,Balcon,Few,$175,0
6,9,3,Alask,Princ,10D,Insid,More,$100,1
6,9,4,Mex,Royal,8D,Balcon,More,$125,0
6,10,1,Medit,Carni,7D,Insid,Few,$150,0
6,10,2,Norway,Norge,10D,Insid,More,$175,0
6,10,3,WCab,Disney,7D,Balcon,Few,$200,1
6,10,4,Norway,Royal,11D,Oview,More,$100,0
6,11,1,Medit,Disney,9D,Oview,More,$125,0
6,11,2,ECab,Princ,11D,Balcon,Few,$125,1
6,11,3,Alask,Holland,8D,Insid,More,$175,0
6,11,4,Mex,Norge,9D,Oview,Few,$150,0
6,12,1,Norway,Norge,10D,Balcon,More,$100,0
6,12,2,Mex,Holland,9D,Balcon,More,$100,1
6,12,3,Alask,Disney,11D,Oview,Few,$125,0
6,12,4,WCab,Carni,7D,Insid,Few,$200,0
6,13,1,Norway,Royal,11D,Balcon,Few,$175,0
6,13,2,Mex,Disney,10D,Insid,Few,$200,1
6,13,3,ECab,Carni,7D,Oview,More,$150,0
6,13,4,WCab,Royal,8D,Oview,More,$150,0
6,14,1,Medit,Royal,7D,Insid,Few,$100,0
6,14,2,Alask,Princ,8D,Insid,Few,$200,0
6,14,3,ECab,Holland,10D,Balcon,More,$125,1
6,14,4,Norway,Carni,9D,Balcon,Few,$175,0
6,15,1,WCab,Disney,8D,Oview,More,$200,1
6,15,2,Mex,Princ,11D,Insid,More,$175,0
6,15,3,Alask,Norge,9D,Balcon,More,$100,0
6,15,4,Medit,Norge,10D,Oview,Few,$125,0
7,1,1,Alask,Disney,7D,Insid,More,$150,0
7,1,2,Norway,Holland,10D,Oview,Few,$100,0
7,1,3,Mex,Carni,8D,Balcon,More,$125,0
7,1,4,ECab,Princ,9D,Oview,Few,$150,1
7,2,1,WCab,Holland,8D,Insid,Few,$175,0
7,2,2,Alask,Princ,7D,Balcon,More,$100,0
7,2,3,ECab,Carni,11D,Balcon,Few,$150,1
7,2,4,Medit,Royal,7D,Insid,More,$200,0
7,3,1,Norway,Disney,9D,Insid,More,$175,0
7,3,2,Medit,Carni,11D,Oview,Few,$125,0
7,3,3,WCab,Royal,11D,Balcon,Few,$200,1
7,3,4,Mex,Norge,10D,Oview,More,$200,0
7,4,1,WCab,Holland,9D,Balcon,Few,$125,0
7,4,2,Medit,Disney,7D,Insid,Few,$100,0
7,4,3,Mex,Disney,10D,Balcon,More,$150,0
7,4,4,ECab,Royal,8D,Oview,More,$175,1
7,5,1,Medit,Norge,10D,Insid,More,$200,0
7,5,2,Alask,Holland,7D,Oview,Few,$175,0
7,5,3,ECab,Princ,11D,Insid,More,$150,1
7,5,4,WCab,Carni,10D,Balcon,Few,$100,0
7,6,1,Mex,Royal,9D,Insid,Few,$125,1
7,6,2,Alask,Carni,8D,Oview,More,$200,0
7,6,3,Norway,Disney,7D,Oview,More,$125,0
7,6,4,Norway,Norge,8D,Balcon,Few,$150,0
7,7,1,Medit,Princ,11D,Oview,Few,$100,0
7,7,2,Mex,Holland,9D,Insid,More,$175,0
7,7,3,ECab,Carni,10D,Balcon,Few,$100,1
7,7,4,WCab,Norge,7D,Balcon,More,$125,0
7,8,1,Alask,Holland,9D,Oview,Few,$175,0
7,8,2,Alask,Princ,8D,Insid,Few,$100,0
7,8,3,Medit,Princ,7D,Balcon,More,$150,1
7,8,4,Norway,Royal,11D,Insid,More,$200,0
7,9,1,WCab,Norge,11D,Insid,More,$200,0
7,9,2,Norway,Holland,7D,Oview,Few,$125,0
7,9,3,Mex,Disney,9D,Balcon,Few,$175,0
7,9,4,ECab,Royal,10D,Oview,Few,$150,1
7,10,1,Alask,Royal,10D,Insid,Few,$200,0
7,10,2,Medit,Norge,9D,Insid,More,$125,0
7,10,3,Norway,Carni,7D,Insid,Few,$200,0
7,10,4,WCab,Disney,8D,Balcon,More,$150,1
7,11,1,Mex,Holland,8D,Insid,Few,$100,0
7,11,2,Alask,Norge,7D,Balcon,More,$200,0
7,11,3,Norway,Princ,11D,Balcon,Few,$175,0
7,11,4,ECab,Holland,9D,Oview,More,$200,1
7,12,1,WCab,Carni,9D,Oview,More,$175,0
7,12,2,ECab,Disney,7D,Insid,Few,$175,1
7,12,3,ECab,Princ,10D,Balcon,Few,$125,0
7,12,4,Mex,Royal,11D,Oview,More,$150,0
7,13,1,Norway,Princ,9D,Insid,More,$100,0
7,13,2,Medit,Royal,8D,Balcon,Few,$100,0
7,13,3,Alask,Disney,10D,Oview,Few,$150,0
7,13,4,WCab,Carni,10D,Oview,More,$125,1
7,14,1,Alask,Disney,8D,Balcon,More,$100,0
7,14,2,ECab,Holland,11D,Insid,More,$125,1
7,14,3,Mex,Carni,11D,Balcon,Few,$175,0
7,14,4,Medit,Norge,9D,Oview,Few,$200,0
7,15,1,WCab,Royal,11D,Oview,Few,$200,1
7,15,2,Medit,Holland,10D,Insid,More,$150,0
7,15,3,Norway,Norge,7D,Balcon,More,$175,0
7,15,4,Alask,Carni,9D,Insid,Few,$125,0
9,1,1,WCab,Princ,7D,Insid,Few,$150,0
9,1,2,Norway,Carni,8D,Balcon,More,$200,0
9,1,3,Alask,Holland,11D,Oview,Few,$125,0
9,1,4,Mex,Holland,9D,Balcon,More,$100,1
9,2,1,Norway,Disney,8D,Balcon,Few,$175,0
9,2,2,Medit,Norge,9D,Insid,Few,$100,1
9,2,3,ECab,Holland,7D,Insid,Few,$125,0
9,2,4,ECab,Princ,10D,Oview,More,$150,0
9,3,1,WCab,Royal,10D,Balcon,Few,$125,0
9,3,2,Alask,Norge,7D,Insid,Few,$200,0
9,3,3,ECab,Princ,9D,Balcon,More,$100,0
9,3,4,Mex,Carni,8D,Oview,More,$175,1
9,4,1,Norway,Royal,11D,Insid,Few,$150,0
9,4,2,Medit,Disney,11D,Balcon,Few,$150,1
9,4,3,WCab,Holland,10D,Oview,More,$100,0
9,4,4,Mex,Princ,9D,Oview,More,$125,0
9,5,1,Alask,Norge,7D,Balcon,Few,$175,0
9,5,2,ECab,Carni,7D,Insid,More,$125,0
9,5,3,Medit,Princ,8D,Insid,More,$200,0
9,5,4,Norway,Holland,10D,Oview,Few,$150,1
9,6,1,Mex,Norge,10D,Insid,Few,$150,0
9,6,2,Alask,Carni,9D,Oview,Few,$175,0
9,6,3,Medit,Disney,11D,Oview,More,$200,1
9,6,4,WCab,Royal,8D,Balcon,More,$125,0
9,7,1,Alask,Royal,7D,Oview,Few,$150,0
9,7,2,Norway,Norge,8D,Insid,More,$175,0
9,7,3,WCab,Holland,11D,Insid,More,$100,0
9,7,4,ECab,Carni,9D,Balcon,Few,$100,1
9,8,1,Medit,Princ,7D,Oview,Few,$200,1
9,8,2,Mex,Disney,11D,Insid,More,$200,0
9,8,3,Alask,Norge,10D,Oview,More,$150,0
9,8,4,ECab,Carni,8D,Balcon,Few,$175,0
9,9,1,Norway,Princ,10D,Balcon,Few,$200,0
9,9,2,Norway,Royal,7D,Oview,More,$100,1
9,9,3,Medit,Holland,11D,Balcon,More,$125,0
9,9,4,Mex,Holland,9D,Insid,Few,$175,0
9,10,1,Norway,Disney,8D,Oview,More,$125,1
9,10,2,Mex,Carni,11D,Insid,Few,$100,0
9,10,3,ECab,Holland,9D,Balcon,More,$150,0
9,10,4,WCab,Royal,10D,Insid,Few,$200,0
9,11,1,ECab,Norge,7D,Balcon,More,$150,0
9,11,2,Mex,Disney,10D,Insid,Few,$175,0
9,11,3,Alask,Princ,11D,Oview,Few,$100,0
9,11,4,Medit,Princ,10D,Balcon,More,$200,1
9,12,1,Alask,Holland,11D,Balcon,More,$100,0
9,12,2,WCab,Norge,7D,Insid,Few,$200,0
9,12,3,Medit,Carni,9D,Oview,Few,$175,1
9,12,4,Alask,Royal,9D,Oview,More,$125,0
9,13,1,Norway,Norge,11D,Oview,Few,$125,0
9,13,2,Mex,Carni,10D,Balcon,More,$175,0
9,13,3,Medit,Disney,7D,Insid,Few,$150,1
9,13,4,WCab,Princ,8D,Insid,More,$150,0
9,14,1,Mex,Royal,11D,Insid,More,$100,0
9,14,2,Norway,Princ,9D,Balcon,More,$200,0
9,14,3,ECab,Holland,8D,Oview,Few,$125,0
9,14,4,Medit,Carni,7D,Balcon,Few,$100,1
9,15,1,Norway,Royal,8D,Oview,Few,$200,0
9,15,2,ECab,Carni,10D,Insid,More,$100,0
9,15,3,WCab,Disney,9D,Balcon,Few,$150,1
9,15,4,Alask,Holland,7D,Oview,More,$175,0
10,1,1,ECab,Norge,10D,Insid,Few,$175,0
10,1,2,WCab,Disney,11D,Oview,More,$150,0
10,1,3,Medit,Norge,8D,Insid,More,$125,1
10,1,4,Norway,Royal,9D,Balcon,Few,$200,0
10,2,1,Mex,Princ,7D,Oview,Few,$125,0
10,2,2,Mex,Carni,11D,Balcon,Few,$200,0
10,2,3,Medit,Holland,8D,Balcon,More,$150,1
10,2,4,Alask,Princ,9D,Insid,More,$175,0
10,3,1,Medit,Carni,11D,Oview,Few,$150,0
10,3,2,Norway,Disney,9D,Insid,More,$100,1
10,3,3,WCab,Norge,7D,Oview,Few,$100,0
10,3,4,ECab,Holland,10D,Balcon,More,$200,0
10,4,1,Mex,Disney,10D,Balcon,Few,$150,0
10,4,2,Norway,Norge,11D,Oview,More,$125,1
10,4,3,Alask,Royal,8D,Insid,More,$175,0
10,4,4,ECab,Princ,9D,Insid,Few,$125,0
10,5,1,WCab,Princ,10D,Insid,More,$150,0
10,5,2,Mex,Norge,8D,Oview,Few,$200,0
10,5,3,Norway,Royal,7D,Balcon,Few,$100,0
10,5,4,Alask,Holland,10D,Oview,More,$175,1
10,6,1,ECab,Holland,8D,Balcon,Few,$100,0
10,6,2,Medit,Disney,7D,Oview,More,$125,1
10,6,3,WCab,Carni,7D,Oview,More,$200,0
10,6,4,Alask,Royal,11D,Insid,Few,$175,0
10,7,1,Alask,Disney,10D,Insid,Few,$125,0
10,7,2,Norway,Princ,9D,Balcon,More,$150,1
10,7,3,ECab,Royal,8D,Oview,More,$200,0
10,7,4,Medit,Carni,11D,Balcon,Few,$100,0
10,8,1,WCab,Disney,7D,Balcon,More,$125,1
10,8,2,WCab,Holland,9D,Insid,Few,$175,0
10,8,3,Mex,Norge,10D,Balcon,More,$150,0
10,8,4,Medit,Holland,8D,Insid,Few,$200,0
10,9,1,ECab,Norge,9D,Oview,Few,$150,0
10,9,2,Mex,Royal,7D,Insid,More,$100,0
10,9,3,Norway,Carni,11D,Balcon,More,$175,1
10,9,4,Alask,Princ,11D,Oview,Few,$100,0
10,10,1,WCab,Royal,9D,Insid,More,$200,1
10,10,2,Alask,Carni,8D,Oview,More,$150,0
10,10,3,Norway,Princ,11D,Oview,Few,$100,0
10,10,4,Medit,Norge,7D,Balcon,Few,$175,0
10,11,1,ECab,Disney,9D,Balcon,Few,$175,0
10,11,2,Mex,Holland,7D,Insid,More,$100,0
10,11,3,Norway,Carni,8D,Insid,Few,$150,0
10,11,4,Alask,Royal,10D,Balcon,More,$125,1
10,12,1,Mex,Holland,7D,Insid,Few,$150,0
10,12,2,Medit,Disney,11D,Oview,More,$175,1
10,12,3,Alask,Norge,9D,Oview,Few,$200,0
10,12,4,ECab,Princ,8D,Balcon,More,$125,0
10,13,1,Medit,Carni,7D,Insid,Few,$125,0
10,13,2,Alask,Royal,11D,Oview,More,$150,0
10,13,3,ECab,Norge,10D,Balcon,Few,$100,0
10,13,4,WCab,Disney,11D,Insid,More,$175,1
10,14,1,Mex,Princ,8D,Insid,Few,$100,0
10,14,2,WCab,Disney,9D,Balcon,More,$100,1
10,14,3,ECab,Royal,9D,Oview,Few,$175,0
10,14,4,Norway,Norge,10D,Oview,More,$200,0
10,15,1,Medit,Holland,9D,Oview,Few,$100,0
10,15,2,Mex,Norge,7D,Oview,More,$175,0
10,15,3,Norway,Carni,10D,Insid,More,$125,1
10,15,4,Alask,Disney,8D,Balcon,Few,$150,0
12,1,1,Medit,Norge,11D,Oview,Few,$100,0
12,1,2,ECab,Disney,8D,Balcon,More,$200,0
12,1,3,WCab,Royal,7D,Insid,More,$175,0
12,1,4,Norway,Princ,10D,Oview,Few,$150,1
12,2,1,Mex,Holland,8D,Balcon,More,$150,1
12,2,2,Alask,Disney,9D,Oview,Few,$100,0
12,2,3,Alask,Norge,10D,Oview,More,$175,0
12,2,4,ECab,Carni,11D,Insid,Few,$125,0
12,3,1,WCab,Royal,10D,Oview,More,$100,0
12,3,2,Medit,Holland,7D,Insid,Few,$150,1
12,3,3,ECab,Princ,11D,Insid,Few,$175,0
12,3,4,Mex,Carni,9D,Balcon,More,$125,0
12,4,1,Alask,Disney,10D,Oview,More,$125,1
12,4,2,Norway,Carni,7D,Insid,Few,$200,0
12,4,3,Mex,Royal,9D,Balcon,Few,$175,0
12,4,4,Norway,Princ,8D,Insid,More,$150,0
12,5,1,Medit,Norge,8D,Insid,Few,$125,1
12,5,2,Alask,Disney,7D,Balcon,Few,$175,0
12,5,3,Norway,Princ,9D,Balcon,More,$100,0
12,5,4,WCab,Holland,11D,Oview,More,$125,0
12,6,1,Mex,Princ,11D,Insid,More,$200,0
12,6,2,WCab,Royal,7D,Balcon,Few,$100,0
12,6,3,Medit,Carni,11D,Oview,Few,$150,0
12,6,4,ECab,Norge,10D,Oview,More,$150,1
12,7,1,Mex,Carni,10D,Insid,Few,$200,0
12,7,2,ECab,Norge,8D,Balcon,More,$175,0
12,7,3,WCab,Princ,9D,Oview,More,$150,1
12,7,4,Alask,Holland,7D,Oview,Few,$125,0
12,8,1,ECab,Royal,9D,Oview,Few,$200,0
12,8,2,Mex,Holland,8D,Insid,More,$100,0
12,8,3,Norway,Carni,10D,Balcon,More,$175,1
12,8,4,Medit,Disney,11D,Balcon,Few,$175,0
12,9,1,Medit,Carni,11D,Oview,More,$200,0
12,9,2,WCab,Royal,7D,Insid,Few,$150,0
12,9,3,Alask,Holland,9D,Balcon,Few,$125,0
12,9,4,WCab,Norge,10D,Insid,More,$100,1
12,10,1,WCab,Carni,8D,Oview,More,$200,0
12,10,2,Norway,Holland,9D,Oview,More,$150,1
12,10,3,Alask,Norge,11D,Insid,Few,$125,0
12,10,4,ECab,Disney,7D,Balcon,More,$100,0
12,11,1,Alask,Royal,8D,Balcon,More,$150,0
12,11,2,Mex,Princ,11D,Balcon,More,$100,1
12,11,3,WCab,Carni,11D,Oview,Few,$175,0
12,11,4,Medit,Royal,10D,Insid,Few,$200,0
12,12,1,Mex,Disney,8D,Balcon,Few,$200,0
12,12,2,Medit,Norge,9D,Balcon,More,$100,0
12,12,3,ECab,Holland,7D,Insid,Few,$200,0
12,12,4,Norway,Norge,10D,Insid,More,$125,1
12,13,1,Alask,Princ,8D,Oview,Few,$100,0
12,13,2,WCab,Carni,7D,Insid,More,$150,0
12,13,3,Mex,Norge,10D,Balcon,Few,$125,0
12,13,4,Medit,Royal,9D,Oview,More,$175,1
12,14,1,Norway,Princ,7D,Balcon,Few,$125,1
12,14,2,Mex,Holland,11D,Oview,More,$200,0
12,14,3,Alask,Disney,10D,Insid,Few,$175,0
12,14,4,ECab,Princ,8D,Insid,Few,$150,0
12,15,1,Medit,Royal,10D,Insid,More,$100,0
12,15,2,ECab,Carni,9D,Oview,More,$125,0
12,15,3,WCab,Holland,7D,Balcon,Few,$100,0
12,15,4,Norway,Disney,11D,Oview,More,$100,1
14,1,1,ECab,Disney,11D,Balcon,Few,$125,0
14,1,2,Norway,Princ,8D,Balcon,Few,$200,1
